,Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,OFCmed_L,OFCmed_R,OFCant_L,OFCant_R,OFCpost_L,OFCpost_R,OFClat_L,OFClat_R,Insula_L,Insula_R,Cingulate_Ant_L,Cingulate_Ant_R,Cingulate_Mid_L,Cingulate_Mid_R,Cingulate_Post_L,Cingulate_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10
None,0.24985819625638117,0.2709257616089914,0.25302688282372254,0.2178661985566608,0.22466178753603902,0.19156378600823046,0.23892100192678228,0.22802001429592567,0.22538552787663108,0.31752673175267315,0.24324324324324326,0.35697940503432496,0.13131313131313133,0.1622839969947408,0.22123893805309736,0.2598059890341628,0.5607142857142857,0.48788927335640137,0.24331550802139038,0.19821930646672914,0.1808066759388039,0.15654205607476634,0.12910798122065728,0.13691275167785236,0.07090909090909091,0.15136876006441224,0.12866817155756208,0.1743827160493827,0.08994708994708994,0.1800356506238859,0.005076142131979695,0.31382978723404253,0.16469321851453175,0.07627118644067797,0.10785714285714286,0.16146230007616147,0.10664605873261206,0.10122560145256468,0.30885529157667385,0.4835820895522388,0.9914163090128756,0.9883720930232558,0.40081799591002043,0.3462897526501767,0.9409090909090909,0.967741935483871,0.1275465013286094,0.26276195593766793,0.16317169069462648,0.12991573033707865,0.13842482100238662,0.1891304347826087,0.22986822840409957,0.2484076433121019,0.18593272171253822,0.10867492850333652,0.2454835281615303,0.15166835187057634,0.10692640692640693,0.09213661636219221,0.19244604316546762,0.2267852471880722,0.17627118644067796,0.19216921692169217,0.07437678790355537,0.038661710037174724,0.14729299363057324,0.12917933130699089,0.1534526854219949,0.15182648401826485,0.19926303854875282,0.2122511485451761,0.3469236471460341,0.29545454545454547,0.9844074844074844,0.9959758551307847,1.0,0.9868421052631579,1.0,1.0,1.0,1.0,0.035555555555555556,0.06827309236947791,0.08013937282229965,0.15345431391276662,0.2529182879377432,0.29895366218236175,0.15520032375556456,0.1533227489226582,0.17748344370860927,0.3117101937657961,0.146875,0.1574360416080967,0.9515943142527853,0.9848942598187311,1.0,1.0,1.0,0.966183574879227,0.952,0.8397212543554007,0.9297520661157025,0.9442896935933147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98796992481203,0.9838274932614556,1.0,1.0,1.0,1.0
  1     Visual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001072961373390558,0.004228329809725159,0.13701431492842536,0.24734982332155478,0.0,0.0,0.8055801594331267,0.7006985491671145,0.6900393184796855,0.8110955056179775,0.8610978520286396,0.8065217391304348,0.705710102489019,0.6164189667374381,0.5990825688073395,0.6534795042897998,0.6418703506907545,0.8483316481294236,0.5034632034632035,0.59054805401112,0.0,0.0,0.025665859564164648,0.03375337533753375,0.0008173273395995096,0.0,0.0,0.0,0.0,0.0,0.017573696145124718,0.052986217457886675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02084176446782679,0.1190746200952597,0.0,0.0,0.009375,0.11217317964576891,0.04802151363810987,0.015105740181268883,0.0,0.0,0.0,0.00966183574879227,0.033777777777777775,0.13588850174216027,0.06847697756788666,0.055710306406685235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006015037593984963,0.016172506738544475,0.0,0.0,0.0,0.0
  2     Somatomotor,0.3740782756664776,0.481810115350488,0.022162938641493945,0.06553540081919251,0.0,0.005349794238683128,0.0038535645472061657,0.0028591851322373124,0.0,0.0,0.0,0.0,0.5949494949494949,0.5717505634861006,0.24825337680484397,0.34162800506115565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071301247771836,0.0,0.0,0.12970936490850377,0.24519774011299436,0.0,0.0,0.19319938176197837,0.15297321833862915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7171120246659815,0.5650013078733979,0.1360774818401937,0.020702070207020702,0.02288516550878627,0.0,0.03980891719745223,0.016210739614994935,0.0,0.0,0.09070294784580499,0.010719754977029096,0.6515937731653076,0.6136363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9377777777777778,0.9317269076305221,0.6136759581881533,0.5300859598853869,0.04824902723735409,0.15844544095665172,0.042695265074868476,0.014062145611249716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  3     Dorsal_Attention,0.23000567214974477,0.13073055309080153,0.0878309049866612,0.0930368636629608,0.027944111776447105,0.02448559670781893,0.04816955684007707,0.19656897784131522,0.0,0.013482101348210134,0.0,0.0,0.0,0.0015026296018031556,0.014904517931998137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005151983513652757,0.003631411711302769,0.0,0.0,0.0,0.0,0.002044989775051125,0.0,0.0,0.0,0.0,0.0,0.000655307994757536,0.002106741573033708,0.0,0.0,0.05197657393850659,0.11252653927813164,0.1437308868501529,0.19876072449952337,0.11158342189160468,0.0,0.1,0.03256552819698173,0.05704008221993834,0.19016479204812975,0.5806295399515738,0.7016201620162016,0.3690232938291786,0.26096654275092934,0.09554140127388536,0.085612968591692,0.0076726342710997444,0.09474885844748858,0.2128684807256236,0.27136294027565083,0.0,0.007177033492822967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12302711452853096,0.1726014969380812,0.0,0.0,0.208125,0.23249929716052853,0.000384172109104879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005903187721369539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  4     Ventral_Attention,0.029778786159954624,0.06743566992014197,0.06402626718653806,0.046811000585137506,0.09115103127079174,0.07736625514403292,0.2610789980732177,0.22444603288062903,0.060498220640569395,0.11390051139005114,0.01597051597051597,0.03775743707093822,0.2727272727272727,0.2644628099173554,0.2775966464834653,0.2855335301560523,0.0,0.0,0.013368983957219251,0.005623242736644799,0.0,0.0,0.0,0.0,0.0,0.0,0.009029345372460496,0.0,0.0,0.0,0.0,0.0,0.5559741657696448,0.5468926553672316,0.1357142857142857,0.08834729626808835,0.38794435857805254,0.4212437585111212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03314491264131552,0.017787078210829192,0.0,0.004050405040504051,0.01879852881078872,0.0,0.60828025477707,0.461499493414387,0.0,0.0,0.06320861678004536,0.04349157733537519,0.0014825796886582653,0.08373205741626795,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.1750871080139373,0.13594396688952562,0.06536964980544747,0.035127055306427506,0.05139619587211655,0.0655477432524382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  5     Limbic,0.0,0.0,0.020316027088036117,0.01930953774136922,0.006431581281880683,0.0008230452674897119,0.0,0.0,0.0,0.0,0.014742014742014743,0.0,0.0,0.0,0.0,0.0,0.4035714285714286,0.47750865051903113,0.00033422459893048126,0.0014058106841611997,0.21279554937413073,0.21495327102803738,0.8016431924882629,0.763758389261745,0.9290909090909091,0.8486312399355878,0.38826185101580135,0.20987654320987653,0.5379188712522046,0.43137254901960786,0.0,0.0,0.013993541442411194,0.007909604519774011,0.019285714285714285,0.0015232292460015233,0.0,0.0,0.0,0.0,0.0,0.007399577167019027,0.310838445807771,0.3666077738515901,0.05909090909090909,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26017316017316017,0.28276409849086576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015592515592515593,0.004024144869215292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005662020905923345,0.0,0.4443579766536965,0.3602391629297459,0.0004046944556859571,0.0,0.5589403973509933,0.42375737152485254,0.311875,0.2673601349451785,0.0,0.0,0.0,0.0,0.0,0.01932367149758454,0.0035555555555555557,0.013937282229965157,0.0011806375442739079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  6     Frontoparietal,0.09415768576290415,0.04909790002957705,0.1399548532731377,0.28379169104739616,0.4109558660456864,0.6598765432098765,0.3044315992292871,0.33738384560400286,0.4444444444444444,0.42538354253835425,0.08722358722358722,0.2585812356979405,0.00101010101010101,0.0,0.09408476944573824,0.05440742302825812,0.0,0.0,0.10026737967914438,0.10449859418931584,0.0,0.0011682242990654205,0.0,0.0,0.0,0.0,0.40857787810383744,0.5277777777777778,0.010582010582010581,0.0285204991087344,0.04060913705583756,0.031914893617021274,0.0861141011840689,0.05706214689265537,0.13214285714285715,0.1667936024371668,0.05100463678516229,0.16886064457557876,0.02159827213822894,0.04477611940298507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019003931847968544,0.04143258426966292,0.0,0.0,0.005856515373352855,0.02264685067232838,0.011314984709480122,0.012869399428026692,0.0010626992561105207,0.0,0.0,0.0,0.00025693730729701953,0.0002615746795710175,0.07554479418886198,0.04770477047704771,0.3923171230077646,0.566542750929368,0.005573248407643312,0.21681864235055726,0.05285592497868713,0.18949771689497716,0.09722222222222222,0.1341500765696784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006367398917542184,0.0007782101167315176,0.0,0.035815459328207205,0.07325924245860739,0.0,0.0,0.1453125,0.12847905538375035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  7     Default,0.02212138400453772,0.0,0.41268212600041043,0.273649307587283,0.23885562208915503,0.040534979423868314,0.14354527938342967,0.010721944245889922,0.2696718070383551,0.1297071129707113,0.6388206388206388,0.34668192219679633,0.0,0.0,0.14392175128085702,0.05862505272037115,0.03571428571428571,0.03460207612456748,0.6427139037433155,0.6902530459231491,0.6063977746870653,0.6273364485981309,0.06924882629107981,0.09932885906040269,0.0,0.0,0.0654627539503386,0.08796296296296297,0.36155202821869487,0.35294117647058826,0.9543147208121827,0.6542553191489362,0.04951560818083961,0.06666666666666667,0.605,0.5818735719725818,0.2606903657908295,0.15206536541080345,0.6695464362850972,0.4716417910447761,0.0075107296137339056,0.0,0.1492842535787321,0.03975265017667844,0.0,0.0,0.06687333923826395,0.03653949489521763,0.127129750982962,0.01544943820224719,0.00047732696897374703,0.004347826086956522,0.006588579795021962,0.0,0.0599388379204893,0.026215443279313633,0.0,0.0,0.02943722943722944,0.0019857029388403494,0.0,0.0,0.005811138014527845,0.0,0.12178177360032694,0.13382899628252787,0.1035031847133758,0.09067882472137791,0.7860187553282183,0.5639269406392694,0.3191609977324263,0.2750382848392037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1254355400696864,0.1798790194205667,0.18832684824902723,0.14723467862481315,0.5706191825171996,0.40213200272170563,0.2635761589403974,0.2645324347093513,0.1784375,0.10205229125667697,0.0,0.0,0.0,0.0,0.0,0.004830917874396135,0.010666666666666666,0.010452961672473868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006015037593984963,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
