,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Left-VentralDC/Hypothalamus,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC/Hypothalamus
ctx-rh-superiortemporal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047208916773830634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.84545698530459,0.00022644927536231884,0.02428678857108605,0.006404549288360969,0.724840718537461,5.732709006008193,3.9213611988310255,9.136868370302102,0.09937377109367779,0.2687442831668085,0.7991316242184004,0.06860214914532675,0.17983370548978017,55.807060531205565,0.27660281792202074,0.038815686384728855,0.8807103522796778,0.1122512145480816,0.11179793688833066,0.0191355733052436,4.564139732017951,0.05279310337146339,3.806947083691594,0.3230313260405176,0.0,0.0013318405203197312,0.007832975734187208,0.6683263151393528,0.0,28.14128041624402,0.0,8.728340569721615,23.689620495395925,16.884992668290447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.801147634278227,0.0747954704920235,1.3691905825061426,0.13390538853633663,4.569986986030109,1.7275494123417614,0.0,0.007555778097847234
ctx-rh-supramarginal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006657445762792359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028538756288480067,0.0,0.000976628826364227,0.0,0.0,0.0,0.000273448185644288,0.0,0.0,0.0,0.0,0.0,0.0,8.227145096840525,0.045659370315463646,0.8248890150824318,0.02565895231521648,0.0,0.140793156074495,32.56859147909057,0.1895739103100546,0.5831868084201562,0.2400970396221332,0.003391390004991621,0.044836725965412196,0.0,1.9981410520529186,0.005729220024701478,0.5258957348642466,0.4150477506193346,0.0,0.006380053561018861,0.03196095671855669,41.35712890113717,0.6547730445551375,7.090885384318729,1.251318826481862,0.0005367686567099198,0.038405963496399534,0.19298837383183232,15.225025492180409,28.14128041624402,0.0,0.0,0.0,5.637983609645533,11.553555757927613,0.0,0.001356466470853142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.554703785335996,0.4305994544394206,0.9110971435877508,0.3198553758767852,0.11636114768359972,0.013107982086206692,0.0,0.0012770490180970967
ctx-rh-frontalpole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13203050636861852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002223647159078847,0.0,0.0,0.0,0.10423691141540589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0908473977292688,0.0,7.903650443285596,0.0,0.0,0.0,0.00022644927536231884,0.0018549717260875564,0.0035822727461008058,0.0,0.0,0.0,0.0,0.0,0.00702346698043571,6.045456893782577,4.184030419600236,0.0,0.0,0.0,0.0,0.0,0.0,0.0013672863875610242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002350501486680646,0.0021033869327410407,0.0,0.0,0.0,0.00023758611169414243,0.0
ctx-rh-temporalpole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014276657037544942,0.0,0.0,0.0,8.204653507982638,7.6835914838829655,0.0,6.4858606386106405,0.0,0.0,0.8233835856308755,0.0,0.19278996241400423,5.548295779869068,0.017409154146477795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042625746109347415,0.0,0.0,8.728340569721615,0.0,0.0,0.0,0.0,2.2136450757785444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018115942298934078,0.0003916960533546365,0.020959188297822857,0.0,0.1862577259864496,2.387340995564085,0.0,0.0
ctx-rh-transversetemporal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021312873054673707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034506556888421375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6486937091078446,0.0016062677419487982,0.010858975668046354,0.005118551637059537,0.0,0.17901626069341664,0.47539109407343727,0.2150963659843673,0.04385950650506909,0.062185044170937676,0.0,0.014069889928551687,0.0,0.9047793808015252,0.01512136095729859,0.020312326319137777,0.0050303112796467285,0.0,0.0,0.007035197750867709,4.674926313409663,0.03256557973614638,0.719120186328402,0.12147074135398303,0.0,0.0002898550659850024,0.0032243258117333703,0.21379810705969948,23.689620495395925,5.637983609645533,0.0,0.0,0.0,8.687372191674143,0.0,0.0002542588373889094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.592219100104294,0.0954867015471277,0.5618048296512469,0.1105263308905389,0.6522932697586932,0.013866382502559303,0.0,0.00167675391919371
ctx-rh-insula,0.0,0.009961274277040924,0.0,0.0,0.0,0.0,0.0,0.0,0.0006901311512658561,0.0,0.09748499801355427,0.0,0.07599366280803646,0.0,0.0,0.0005270092059736667,0.0,0.0,0.00019069412804168203,0.0,0.0,0.004554934421743172,0.0,0.0005740267157122709,0.0652168046521104,0.0,0.0005085176747778188,0.0004314444284292235,0.0,0.0,0.0,0.0,0.0,0.001721684159576029,1.0489539217500798,0.6823452830355129,3.177625056842099,0.005922950972951408,1.345896120486862,1.4574588714909835,0.9511292060715673,1.3592863032135412,0.45445516507100797,0.09544146031249261,19.343836956056833,0.025265012138887592,4.803767685157557,1.7105150760988286,0.10510109260381348,0.6145819824161953,20.413726718785863,0.12049287215442113,6.757019606202949,0.010492806356616211,14.601770523685854,1.0305865451396592,18.49310250405519,0.617631742109855,0.7312325866744462,2.6814086431556423,1.8753912016965342,1.748008500184,16.884992668290447,11.553555757927613,0.0013672863875610242,2.2136450757785444,8.687372191674143,0.0,0.0,0.0002841716497272685,0.005748284994152145,0.0,0.0,0.0,0.0,0.01762146829371003,0.0005472788074310275,0.0007500635810952256,1.8292961143348636,3.2792200284969546,27.26056196309113,1.748490681487095,3.787087444236259,5.046071069652512,0.9843529599205847,0.019481604972827263
Left-Cerebellum-Cortex,0.00160535489735396,0.0,0.0,0.003930799231149148,0.0050578659022415895,40.50671777046164,0.0030102561889351277,2.2494762291645873,0.49080483844854694,7.626051083146392,0.0,26.215531338330198,0.0,0.00571956401825815,6.475802076676779,0.0,0.0,0.0,0.0,0.061877004478288734,0.0,0.0,0.0,0.07131972637675378,0.0,0.0,0.0,0.0018495867919662724,0.0008076457171768382,0.0,0.0,0.0,0.00021003991149473884,0.004095991884452709,0.0,0.0,0.0,0.0,0.000273448185644288,0.0013559505991313768,0.0,0.0,0.01653846277706865,0.001893939396393472,0.0,0.2665636807518161,0.0,0.0,0.0026471785715092783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00549174761534601,0.0003019323761480442,0.0005085176747778188,0.00047517222338828486,0.03729869854515013,0.001364674581133801,0.0008310680210158445,0.009034648713102375,71.53797436733663,0.0033115104407719946,0.0,0.0,0.0,0.0019257206847702248,0.00024563989237598753,0.0,0.011389330771846184
Left-Thalamus-Proper,0.29043204543869133,0.14830639579441343,0.22072947498383946,0.0035212278177124863,0.0003019323761480442,0.1260360690522129,0.3574147452532813,0.07540470969093882,1.5419863000026215,0.03955709251264731,0.12640065583737864,0.14803063943712175,0.087357215664309,0.13854440446079208,0.4589579045988511,0.7901287163958709,0.10366770608917526,0.0,0.00797295015629219,0.008250173221787682,0.5884733777965648,1.0498173377355156,0.562676091361251,0.431663877742392,0.0178778605616611,0.033762544137088284,0.32513828267869743,0.4973842096717461,0.5628455599931919,1.0823636144683089,0.0,0.00020412328666534978,0.453814294938322,2.4258823842282635,0.0,0.0008080357388741728,0.0,0.0,0.0,0.0,0.0,0.0,0.018377190192594477,0.0,0.0,0.0,0.0010672263747108154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009248462681105171,0.0,0.0,0.0,0.0002683843283549599,0.0,0.0005693187046310176,0.0,0.001356466470853142,0.0,0.0,0.0002542588373889094,0.0002841716497272685,0.00549174761534601,0.0,12.540016954035863,3.012772712060183,5.655246472978235,11.84830294739104,1.1372534026850716,0.6305168453954916,0.23030953994020817,0.0022505429181931677,3.368691112900126,0.0007496252116085826,0.0005915409520916317,0.000660566343129545,0.025237778120714684,0.0015763463587432668,0.0032393206990715385,0.006376158203119817
Left-Caudate,0.031594814698927214,2.318899735659901,1.0221478261552968,0.0020649610492198362,0.0,0.0034676865958001304,0.13029197424623198,0.0020251343080746956,0.48301473623681546,0.005918003099066192,3.477950258659658,0.005362962575062462,3.091771444582475,0.003772022081134112,0.0,1.1608906756020219,1.0761869865523623,0.06444739955949827,0.8159801594886011,0.002825421956030355,0.7802527360888063,2.023160768510855,1.2096257695820236,0.33355472437308537,3.693509264923362,0.7401301888479055,3.2055975702672224,0.4450137518427294,0.03658343161847712,0.7802805494031181,0.01845266763795761,0.00020412328666534978,0.07059610410984876,4.3345099338465305,0.0,0.025877983160856842,0.0017212378805962162,0.0,0.0,0.0,0.0,0.0,0.0021223354058853092,0.0,0.0037243608520298763,0.0,0.02011932043250704,0.0,0.0,0.0,0.0019752067662235618,0.0,0.002256063272015772,0.0,0.0,0.026474204650013777,0.0004918449490830518,0.0,0.03818880547296958,0.0016191629287989242,0.006245235453589239,0.0006740815613580787,0.0,0.0,0.0,0.0,0.0,0.005748284994152145,0.0003019323761480442,12.540016954035863,0.0,9.304691976732641,6.552246914413906,0.3298224743145208,0.15853622295907227,8.675182912728168,0.08833044135700101,0.0002898550659850024,0.0023998334005043125,0.05206365393393714,0.0,0.00043261950106724447,0.0003293807739796846,0.00023758611169414243,0.039957253458113344,0.003040236623390861
Left-Putamen,0.10635177579208993,0.7912293723109516,0.7318928692678827,0.0007465964156216469,0.021048998973075893,0.20561240189641283,0.09336774416969738,0.15684853017708097,0.10760184531977428,0.018584575679531132,10.222728563006967,0.019117979278814964,2.057470974168214,0.19514225076452113,0.03165275473282605,0.3443491974494595,1.412486154437605,0.056510057313826634,0.7757289811995798,0.0019121743819635847,0.7420247525071212,0.6131666083010319,1.3240331537495165,0.08454257293023924,1.0432455128841642,0.6345250969010311,1.5687394667133365,0.14474821135239757,0.7726630934082188,0.4744767972700082,0.011853503299526114,0.048226635687161186,0.13328374985713456,22.964528603857193,0.0,0.002226705622413884,0.00023004372158776158,0.0,0.0,0.0,0.0,0.0,0.00019584802667731824,0.0,0.0,0.0,0.00117818681874137,0.0,0.0,0.0,0.0,0.0,0.00023375408373017243,0.0,0.0,0.0030889006507029567,0.0,0.0,0.0035696998103589253,0.0003083564503037411,0.0013428731969949129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005085176747778188,3.012772712060183,9.304691976732641,0.0,18.136041656237744,3.2302875028707194,4.327164943451467,7.0767410309998775,0.09975230400248067,0.0,0.0002683843283549599,0.002141302168045355,0.0,0.0,0.0,0.0,0.001030860495740089,0.0025723233980977016
